@relation final
@attribute userid integer [1,500]
@attribute course integer []
@attribute n_assignment integer []
@attribute n_assignment_a integer [] 
@attribute n_assignment_s integer [] 
@attribute n_messages integer [] 
@attribute n_posts integer [] 
@attribute n_read integer [] 
@attribute n_quiz integer [] 
@attribute n_quiz_a integer [] 
@attribute n_quiz_s integer [] 
@attribute n_messages_ap integer [] 
@attribute total_time_assignment integer [] 
@attribute total_time_quiz integer [] 
@attribute total_time_forum integer [] 
@attribute nota real [0.0,10.0] 
@data 
1148,218,0,0,0,0,0,0,0,0,0,0,0,213,0,5.0
2712,218,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
4339,218,11,0,11,0,1,0,3,3,0,0,236,1212,1070,7.25
2152,218,0,0,0,0,0,0,0,0,0,0,0,319,1139,3.25
2891,218,9,0,9,0,0,0,0,0,0,0,217,0,455,2.75
2863,218,0,0,0,0,0,0,3,2,1,0,120,1864,1114,0.0
2669,218,11,0,11,0,1,0,9,9,0,0,643,2433,1567,2.5
2138,218,11,0,11,0,1,0,9,8,1,0,62,3134,1778,7.25
2866,218,0,0,0,0,0,0,2,1,1,0,0,1932,0,0.0
2707,218,0,0,0,0,0,0,0,0,0,0,0,0,155,0.0
2928,218,10,0,10,0,2,0,6,6,0,0,1272,2493,0,2.5
2695,218,10,0,10,0,1,0,3,3,0,0,292,1098,367,6.0
2480,218,11,0,11,0,0,0,6,5,1,0,966,2282,1036,2.5
2146,218,11,0,11,0,0,0,5,5,0,0,2160,2566,1198,3.5
2842,218,11,0,11,0,0,0,4,3,1,0,332,1330,568,5.5
2062,218,11,0,11,0,1,0,8,8,0,0,987,2606,0,5.5
2845,218,10,0,10,0,0,0,2,2,0,0,599,700,2180,3.75
2888,218,11,0,11,0,0,0,4,4,0,0,294,1345,909,7.5
2559,218,0,0,0,0,4,0,6,5,1,0,0,2237,2800,0.0
2173,218,0,0,0,0,0,0,4,4,0,0,0,2422,2671,3.5
2704,218,10,0,10,0,1,0,5,4,1,0,212,1537,2149,0.0
2368,218,0,0,0,0,0,0,0,0,0,0,0,0,307,0.0
1958,218,7,0,7,0,2,0,0,0,0,0,1162,251,524,0.0
2917,218,11,0,11,0,0,0,9,9,0,0,294,2449,314,5.5
2822,218,0,0,0,0,0,0,0,0,0,0,0,392,449,1.5
2183,218,10,0,10,0,2,0,3,2,1,0,675,2030,3541,3.5
3107,218,11,0,11,0,2,0,4,3,1,0,794,1345,3091,3.5
2974,218,11,0,11,0,0,0,7,6,1,0,264,2469,2010,5.5
2841,218,10,0,10,0,0,0,6,6,0,0,504,1692,4,6.0
2837,218,11,0,11,0,0,0,2,2,0,0,535,1191,1461,2.0
2766,218,0,0,0,0,0,0,0,0,0,0,0,352,863,2.5
673,218,11,0,11,0,6,0,6,6,0,0,398,2049,3042,7.5
3004,218,0,0,0,0,0,0,0,0,0,0,0,133,201,0.0
2850,218,10,0,10,0,0,0,5,1,4,0,130,1870,107,4.0
4131,218,11,0,11,0,1,0,7,7,0,0,587,1843,2859,8.0
2702,218,11,0,11,0,1,0,7,6,1,0,1213,3118,0,6.75
2537,218,11,0,11,0,0,0,8,5,3,0,659,2141,844,1.0
3384,218,0,0,0,0,0,0,4,3,1,0,212,1279,660,3.25
2938,218,10,0,10,0,0,0,2,2,0,0,0,601,937,4.0
2082,218,11,0,11,0,3,0,9,7,2,0,374,4601,4826,2.0
3140,218,11,0,11,0,0,0,5,1,4,0,754,0,1378,0.0
2919,218,0,0,0,0,0,0,1,0,1,0,0,770,258,0.0
2215,218,9,0,9,0,0,0,0,0,0,0,856,203,1365,0.0
5156,218,0,0,0,0,0,0,0,0,0,0,0,34,633,0.0
2855,218,11,0,11,0,0,0,4,4,0,0,787,1255,1636,3.0
2924,218,0,0,0,0,0,0,1,0,1,0,0,684,243,0.0
2653,218,10,0,10,0,0,0,1,1,0,0,828,229,255,0.0
2151,218,10,0,10,0,1,0,3,2,1,0,332,1897,2144,0.0
2340,218,0,0,0,0,0,0,4,2,2,0,0,3126,480,0.0
2862,218,11,0,11,0,1,0,7,7,0,0,259,2324,1982,5.5
2606,218,11,0,11,0,0,0,2,1,1,0,424,1623,2279,5.0
3669,218,11,0,11,0,0,0,3,3,0,0,2035,1399,693,4.0
880,218,0,0,0,0,2,0,0,0,0,0,0,0,998,5.0
2697,218,11,0,11,0,1,0,7,7,0,0,337,2496,2214,5.5
2975,218,10,0,10,0,0,0,6,6,0,0,416,2104,1494,3.25
2782,218,11,0,11,0,0,0,5,5,0,0,1612,2003,1218,2.5
1149,218,0,0,0,0,0,0,0,0,0,0,84,354,1306,0.0
4253,218,10,0,10,0,0,0,5,3,2,0,750,2162,950,5.0
2139,218,11,0,11,0,1,0,7,6,1,0,217,2713,0,3.0
